statement,frequency_heuristic,malicious_account,sensationalism,naive_realism,link
"Two federal officers shot Alex Pretti, initial government review reveals",0,0,1,1,https://www.washingtonpost.com/nation/2026/01/27/alex-pretti-shooting-minneapolis-ice-bovino/
"Person shot in incident involving Border Patrol in Arizona, sheriff says",2,0,0,0,https://abcnews.go.com/US/person-shot-incident-involving-border-patrol-arizona-sheriff/story?id=129607160
WATCH: Trump gives speech on energy and the economy as Minnesota shooting fallout continues,0,0,1,1,https://www.pbs.org/newshour/politics/watch-live-trump-gives-speech-on-energy-and-the-economy-as-minnesota-shooting-fallout-continues
First Thing: Obamas call Alex Pretti’s killing a ‘tragedy’ as pressure mounts for full investigation,1,0,1,1,https://www.theguardian.com/us-news/2026/jan/26/first-thing-obamas-call-alex-pretti-killing-investigation
Inside San Francisco’s new AI school: is this the future of US education?,1,0,2,1,https://www.theguardian.com/technology/2025/oct/18/san-francisco-ai-alpha-school-tech
SHUT OUT Social Security confirms 315 offices are abruptly CLOSED for full 24 hours,2,0,1,1,https://www.the-sun.com/money/15848488/social-security-offices-closed-january-winter-storm/
5 Things to Know Before the Stock Market Opens,0,0,0,0,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-january-27-2026-11893191
South Korea reassures on US investment pledge after Trump threatens to hike tariffs,0,0,1,0,https://www.reuters.com/world/asia-pacific/trump-says-he-is-raising-tariffs-certain-south-korean-imports-25-2026-01-26/
PM call with Prime Minister Ulf Kristersson of Sweden: 27 January 2026,0,0,0,0,https://www.gov.uk/government/news/pm-call-with-prime-minister-ulf-kristersson-of-sweden-27-january-2026
"CBS News’ Bari Weiss unveils new strategy amid backlash, viewership lags",2,0,1,1,https://www.aljazeera.com/economy/2026/1/27/cbs-news-bari-weiss-unveils-new-strategy-amid-backlash-viewership-lags
WWE RAW Results & Highlights 26-jan-2026,0,0,2,0,https://timesofindia.indiatimes.com/sports/wwe/top-stories/wwe-raw-results-highlights-26-jan-2026-cm-punk-battles-aj-styles-in-world-title-match-new-no-1-contenders-bron-breakker-returns-and-more/articleshow/127601482.cms
"Dozens killed, 100 injured in fire at Swiss ski resort bar",0,0,1,1,https://www.reuters.com/world/europe/several-killed-after-explosion-swiss-ski-resort-bar-bbc-reports-2026-01-01/
WHO regrets U.S. notification of withdrawal from World Health Organization,1,0,0,1,https://www.who.int/news/item/24-01-2026-who-statement-on-notification-of-withdrawal-of-the-united-states
Minnesota general strike follows protest actions over immigration enforcement,1,0,0,1,https://en.wikipedia.org/wiki/2026_Minnesota_general_strike
2026 Internet blackout in Iran during protests as authorities restrict connectivity,2,0,1,1,https://en.wikipedia.org/wiki/2026_Internet_blackout_in_Iran
Mark Carney speech at World Economic Forum criticizes economic coercion tactics,1,0,2,1,https://en.wikipedia.org/wiki/2026_Mark_Carney_speech_at_the_World_Economic_Forum
U.S. senators warn that IRS cuts will overburden working class with audits,0,0,1,1,https://www.finance.senate.gov/ranking-members-news/wyden-leads-democrats-warning-that-trump-irs-cuts-will-overburden-working-class-with-audits-and-help-the-rich-cheat
California faces teacher strikes across state for better pay and work conditions,1,0,1,1,https://www.theguardian.com/us-news/2026/feb/02/california-teacher-strike
Law and Media Round Up – 12 January 2026,0,0,0,0,https://inforrm.org/2026/01/12/law-and-media-round-up-12-january-2026/
"Special Operations News – Jan 26, 2026 national security update",0,0,0,0,https://sof.news/update/20260126/
