id,url,freq_score,mal_score,sens_score,naive_score
0901c675-09de-4a2e-89a9-4f0d1a55e6d8,https://www.washingtonpost.com/nation/2026/01/27/alex-pretti-shooting-minneapolis-ice-bovino/,0,0,1,0
6c4217bc-3785-44cf-ab76-4ae2f225662d,https://abcnews.go.com/US/person-shot-incident-involving-border-patrol-arizona-sheriff/story?id=129607160,0,0,0,0
65ef03e1-c838-4d7d-ade5-99607a383dd2,https://www.pbs.org/newshour/politics/watch-live-trump-gives-speech-on-energy-and-the-economy-as-minnesota-shooting-fallout-continues,1,0,1,0
2d03067f-354c-417c-bf38-8278e65bd52b,https://www.theguardian.com/us-news/2026/jan/26/first-thing-obamas-call-alex-pretti-killing-investigation,1,1,2,2
63eae65c-a447-42df-9475-587cfe00420c,https://www.theguardian.com/technology/2025/oct/18/san-francisco-ai-alpha-school-tech,0,0,1,0
8dfc69f0-e947-4a60-bda4-6f11f8bc47c1,https://www.the-sun.com/money/15848488/social-security-offices-closed-january-winter-storm/,1,1,2,2
4f6c7470-bdb7-4b7b-ac50-642702982e76,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-january-27-2026-11893191,0,0,0,0
c5af3a54-9769-4689-91d2-1e2169d5e80a,https://www.reuters.com/world/asia-pacific/trump-says-he-is-raising-tariffs-certain-south-korean-imports-25-2026-01-26/,0,0,1,0
2ded3b81-09a4-4156-8710-dc3d57d49b3a,https://www.gov.uk/government/news/pm-call-with-prime-minister-ulf-kristersson-of-sweden-27-january-2026,0,0,0,1
1fb567dd-4985-42fb-af76-6734e708c185,https://www.aljazeera.com/economy/2026/1/27/cbs-news-bari-weiss-unveils-new-strategy-amid-backlash-viewership-lags,1,2,1,2
46ecced0-a945-4fc6-abdd-4ca947f3649c,linkkkkkk,1,0,2,1,mostly-true
043b8982-80de-49db-8f1b-94755f904d32,linkkkkkk,1,0,2,1,true
